epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.325,1.19411,3.65792,1.51379,0.65144,0.27664,0.23041,0.14564,1.22284,1.9909,1.61088,0.000127963,0.000127963,0.000127963
2,202.968,1.13129,2.31483,1.43212,0.60176,0.33977,0.33594,0.19564,1.29192,1.67705,1.6847,0.000253759,0.000253759,0.000253759
3,303.262,1.08089,1.90459,1.37238,0.57581,0.35251,0.34793,0.21227,1.22187,1.5421,1.57467,0.000377014,0.000377014,0.000377014
4,402.82,1.07346,1.75376,1.3664,0.71285,0.3496,0.40512,0.25011,1.18015,1.38558,1.53423,0.000373565,0.000373565,0.000373565
5,501.91,1.06885,1.61626,1.35625,0.61303,0.41176,0.44135,0.27556,1.17654,1.36796,1.53251,0.000369754,0.000369754,0.000369754
6,600.276,1.03733,1.52608,1.32988,0.6472,0.44597,0.46078,0.29465,1.14974,1.23244,1.49669,0.000365942,0.000365942,0.000365942
7,698.886,1.01876,1.43111,1.31641,0.60109,0.40906,0.45227,0.29553,1.10789,1.23055,1.46349,0.000362131,0.000362131,0.000362131
8,797.615,1.01995,1.37747,1.313,0.66826,0.46658,0.48422,0.30746,1.10855,1.10179,1.46331,0.000358319,0.000358319,0.000358319
9,896.577,1.00529,1.33834,1.30431,0.69667,0.48123,0.50525,0.32541,1.10359,1.05696,1.45515,0.000354508,0.000354508,0.000354508
10,995.107,0.99279,1.30665,1.29981,0.67141,0.45655,0.48246,0.31688,1.08039,1.04928,1.43305,0.000350697,0.000350697,0.000350697
11,1093.79,0.99024,1.25778,1.29346,0.54613,0.51852,0.49719,0.31869,1.12098,1.12215,1.46984,0.000346885,0.000346885,0.000346885
12,1192.99,0.97147,1.22135,1.28145,0.64913,0.48874,0.52368,0.33481,1.07194,1.0157,1.42305,0.000343074,0.000343074,0.000343074
