epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.186,1.02808,3.62712,1.41674,0.55625,0.27711,0.22178,0.16803,0.88009,1.87675,1.3683,0.000107412,0.000107412,0.000107412
2,314.284,0.91338,2.31725,1.27974,0.59081,0.41492,0.34883,0.27257,0.82504,1.4352,1.28413,0.00021082,0.00021082,0.00021082
3,446.705,0.8873,1.90678,1.23696,0.56973,0.45798,0.38216,0.3034,0.79603,1.32283,1.24666,0.000309964,0.000309964,0.000309964
4,578.977,0.87621,1.72183,1.23088,0.55721,0.51955,0.4406,0.34912,0.79477,1.20326,1.25235,0.000303814,0.000303814,0.000303814
5,711.67,0.84968,1.54179,1.20476,0.59479,0.52561,0.45648,0.36426,0.78528,1.17336,1.23762,0.000297418,0.000297418,0.000297418
6,843.979,0.81981,1.43837,1.18756,0.67008,0.51955,0.50256,0.40223,0.767,1.04466,1.21286,0.000291023,0.000291023,0.000291023
7,976.018,0.80917,1.33268,1.17841,0.64927,0.54841,0.53549,0.43379,0.74285,0.9362,1.18801,0.000284628,0.000284628,0.000284628
8,1108.86,0.80307,1.26955,1.17428,0.66265,0.56701,0.5417,0.44316,0.73436,0.9151,1.18285,0.000278232,0.000278232,0.000278232
9,1241.48,0.79478,1.23183,1.16688,0.68441,0.57616,0.58909,0.48347,0.73913,0.86358,1.184,0.000271837,0.000271837,0.000271837
10,1374.25,0.79165,1.17905,1.16216,0.69914,0.58764,0.59429,0.48644,0.73007,0.85371,1.17972,0.000265441,0.000265441,0.000265441
11,1506.5,0.78125,1.14663,1.15758,0.66749,0.62095,0.60353,0.48766,0.74109,0.85361,1.18579,0.000259046,0.000259046,0.000259046
12,1639.81,0.77883,1.11542,1.15437,0.65126,0.63375,0.66212,0.54054,0.74534,0.85303,1.18717,0.000252651,0.000252651,0.000252651
13,1773.14,0.77406,1.07678,1.15094,0.76686,0.58059,0.6574,0.5354,0.74225,0.81322,1.18083,0.000246255,0.000246255,0.000246255
14,1904.35,0.76379,1.04409,1.13939,0.74859,0.61227,0.66638,0.54436,0.71307,0.79231,1.15544,0.00023986,0.00023986,0.00023986
15,2035.69,0.752,1.01636,1.13931,0.7067,0.61813,0.67835,0.55199,0.73174,0.76667,1.17226,0.000233464,0.000233464,0.000233464
16,2169.22,0.75072,0.9929,1.13489,0.67534,0.67622,0.71087,0.58763,0.71925,0.75628,1.16174,0.000227069,0.000227069,0.000227069
17,2302.29,0.74957,0.97145,1.13086,0.71598,0.66897,0.6737,0.55772,0.72915,0.74097,1.16228,0.000220674,0.000220674,0.000220674
18,2436.3,0.75103,0.95037,1.13618,0.67858,0.69451,0.71343,0.58923,0.71279,0.73056,1.14831,0.000214278,0.000214278,0.000214278
19,2571.54,0.73283,0.92762,1.12284,0.6505,0.69992,0.70341,0.57135,0.72529,0.7555,1.15617,0.000207883,0.000207883,0.000207883
20,2705.35,0.7365,0.92014,1.12457,0.55115,0.75727,0.71079,0.58532,0.72263,0.70102,1.15475,0.000201487,0.000201487,0.000201487
21,2838.74,0.72196,0.89807,1.12022,0.67183,0.72502,0.72435,0.59566,0.71021,0.71321,1.14881,0.000195092,0.000195092,0.000195092
22,2971.85,0.72733,0.89234,1.11921,0.57212,0.72145,0.71157,0.58588,0.7077,0.69451,1.14324,0.000188697,0.000188697,0.000188697
23,3105.22,0.71943,0.89112,1.11599,0.59451,0.76253,0.737,0.59753,0.70767,0.672,1.14365,0.000182301,0.000182301,0.000182301
24,3238.26,0.71745,0.85367,1.11204,0.65163,0.72962,0.72439,0.58613,0.70869,0.68348,1.14842,0.000175906,0.000175906,0.000175906
25,3371.47,0.71923,0.85034,1.11301,0.72707,0.66496,0.7221,0.59704,0.69918,0.6563,1.13528,0.00016951,0.00016951,0.00016951
26,3504.32,0.70479,0.83359,1.10399,0.68831,0.70038,0.7301,0.60197,0.69947,0.66084,1.13586,0.000163115,0.000163115,0.000163115
27,3637.43,0.70809,0.82177,1.10798,0.58774,0.76092,0.7294,0.5967,0.6927,0.65376,1.1301,0.00015672,0.00015672,0.00015672
28,3770.73,0.70074,0.81097,1.102,0.64644,0.7408,0.73115,0.6008,0.70318,0.65399,1.13876,0.000150324,0.000150324,0.000150324
