epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0346,1.10889,4.02437,1.56864,0.30141,0.39626,0.30954,0.24304,0.87282,3.46607,1.3531,0.000191644,0.000191644,0.000191644
2,24.9198,0.91408,1.98767,1.31681,0.52579,0.3947,0.38244,0.27685,0.97672,2.29339,1.45696,0.000383807,0.000383807,0.000383807
3,36.1474,0.92592,1.70672,1.30318,0.50146,0.35648,0.37175,0.29085,0.9491,1.72122,1.44833,0.000572088,0.000572088,0.000572088
4,47.3825,0.94137,1.55337,1.29759,0.52026,0.41859,0.43056,0.32582,0.96607,2.06464,1.45344,0.000570536,0.000570536,0.000570536
5,58.5085,0.91608,1.49805,1.29006,0.39613,0.35889,0.40669,0.30645,1.08502,2.02251,1.58506,0.000564715,0.000564715,0.000564715
6,69.4765,0.93657,1.44174,1.30114,0.27503,0.54604,0.40764,0.31429,0.96789,1.69542,1.40673,0.000558894,0.000558894,0.000558894
7,80.5677,0.87527,1.34376,1.2395,0.47356,0.59156,0.5358,0.42347,0.86208,1.30909,1.3405,0.000553073,0.000553073,0.000553073
8,91.7316,0.88406,1.31825,1.2611,0.41853,0.5821,0.53529,0.41931,0.91999,1.20929,1.37137,0.000547252,0.000547252,0.000547252
9,102.731,0.85324,1.27626,1.23658,0.4405,0.64693,0.55986,0.43785,0.84528,1.18934,1.30058,0.00054143,0.00054143,0.00054143
10,113.77,0.8345,1.23963,1.22612,0.56443,0.49674,0.55722,0.42022,0.92255,1.38206,1.34663,0.000535609,0.000535609,0.000535609
11,124.713,0.85164,1.22062,1.25056,0.59899,0.44115,0.58408,0.47235,0.8078,1.32329,1.25491,0.000529788,0.000529788,0.000529788
12,135.812,0.84017,1.11979,1.22288,0.50139,0.48001,0.52564,0.41073,0.85822,1.30638,1.3235,0.000523967,0.000523967,0.000523967
13,146.87,0.82608,1.12397,1.22836,0.42864,0.62221,0.5796,0.46829,0.84188,1.14265,1.30082,0.000518146,0.000518146,0.000518146
14,157.864,0.82541,1.10015,1.21863,0.51503,0.56882,0.54367,0.44091,0.78428,1.26592,1.2331,0.000512324,0.000512324,0.000512324
15,168.804,0.80628,1.09283,1.20193,0.60607,0.53487,0.53744,0.4296,0.81794,1.29085,1.24661,0.000506503,0.000506503,0.000506503
16,179.816,0.79866,1.07696,1.1944,0.47404,0.58304,0.61085,0.483,0.82635,1.17426,1.29345,0.000500682,0.000500682,0.000500682
17,190.906,0.78747,1.02757,1.18281,0.59481,0.59014,0.59808,0.49191,0.74048,1.13538,1.19141,0.000494861,0.000494861,0.000494861
18,201.918,0.7666,0.9667,1.17734,0.61449,0.59627,0.65553,0.52677,0.78367,0.9623,1.24897,0.00048904,0.00048904,0.00048904
19,212.815,0.76143,0.96006,1.16612,0.57574,0.61617,0.63795,0.51228,0.81092,1.15041,1.27703,0.000483218,0.000483218,0.000483218
20,224.555,0.76103,0.9442,1.16145,0.54014,0.58268,0.56283,0.44593,0.83408,1.26672,1.29369,0.000477397,0.000477397,0.000477397
21,238.537,0.7335,0.92347,1.15688,0.54266,0.52582,0.60713,0.47206,0.86563,1.21962,1.32498,0.000471576,0.000471576,0.000471576
22,251.049,0.75183,0.93762,1.17161,0.51211,0.61238,0.61641,0.5087,0.7877,1.20679,1.25662,0.000465755,0.000465755,0.000465755
23,262.135,0.74335,0.9276,1.1566,0.57626,0.56831,0.59615,0.47727,0.81288,1.13029,1.27166,0.000459934,0.000459934,0.000459934
24,273.28,0.7178,0.86431,1.13873,0.55706,0.62569,0.60429,0.48969,0.77212,1.00638,1.22011,0.000454112,0.000454112,0.000454112
25,284.164,0.74473,0.88207,1.15005,0.69952,0.49956,0.59562,0.48655,0.78739,1.18719,1.24146,0.000448291,0.000448291,0.000448291
26,294.889,0.72084,0.84608,1.14102,0.58006,0.55881,0.60614,0.49149,0.77287,1.16596,1.23141,0.00044247,0.00044247,0.00044247
27,305.769,0.72939,0.83695,1.15191,0.62864,0.58869,0.59472,0.48784,0.77328,1.19814,1.22428,0.000436649,0.000436649,0.000436649
28,316.776,0.71731,0.86221,1.15324,0.53984,0.65933,0.61041,0.50394,0.71982,1.08803,1.18793,0.000430828,0.000430828,0.000430828
29,327.632,0.71642,0.85026,1.15787,0.56927,0.62639,0.59078,0.47968,0.72822,1.19809,1.16189,0.000425006,0.000425006,0.000425006
30,338.463,0.69551,0.80332,1.11455,0.56357,0.58633,0.5965,0.49505,0.74224,1.14115,1.21566,0.000419185,0.000419185,0.000419185
31,349.217,0.69012,0.79074,1.11968,0.55634,0.55108,0.54021,0.44748,0.75443,1.13999,1.20227,0.000413364,0.000413364,0.000413364
32,360.038,0.68614,0.74947,1.12697,0.50737,0.57031,0.56799,0.46671,0.74556,1.14214,1.20947,0.000407543,0.000407543,0.000407543
33,370.765,0.68928,0.74216,1.13088,0.48234,0.64481,0.59518,0.47886,0.75065,1.19439,1.21376,0.000401722,0.000401722,0.000401722
34,381.663,0.69264,0.76519,1.11691,0.46124,0.5542,0.56753,0.45806,0.78756,1.23784,1.26898,0.0003959,0.0003959,0.0003959
35,392.499,0.67761,0.73927,1.11364,0.48309,0.6424,0.58473,0.48665,0.74027,1.23995,1.19975,0.000390079,0.000390079,0.000390079
36,403.311,0.66626,0.71762,1.10526,0.53257,0.54533,0.534,0.43519,0.76527,1.28805,1.23927,0.000384258,0.000384258,0.000384258
37,413.996,0.66225,0.71514,1.10759,0.60319,0.57187,0.6165,0.51589,0.72885,1.04918,1.16751,0.000378437,0.000378437,0.000378437
38,424.713,0.6635,0.6945,1.11153,0.50854,0.60035,0.56801,0.46109,0.73413,1.19159,1.19741,0.000372616,0.000372616,0.000372616
