epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.228,0.72984,2.11564,1.19535,0.61098,0.20737,0.19395,0.15889,0.5933,1.68963,1.15743,0.000195393,0.000195393,0.000195393
2,152.665,0.63485,1.22974,1.11286,0.40132,0.35759,0.21901,0.17508,0.72591,1.61681,1.28189,0.000387518,0.000387518,0.000387518
3,226.421,0.62932,1.16122,1.10125,0.43023,0.22139,0.20022,0.165,0.68082,1.37475,1.22715,0.000575763,0.000575763,0.000575763
4,299.379,0.62126,1.12147,1.09326,0.20742,0.36473,0.25534,0.21808,0.58224,1.36585,1.11809,0.000570536,0.000570536,0.000570536
5,373.469,0.59705,1.07243,1.0815,0.64541,0.29417,0.27802,0.24491,0.46555,1.27201,1.02474,0.000564715,0.000564715,0.000564715
6,447.108,0.59419,1.03515,1.07585,0.37305,0.47332,0.27794,0.24105,0.52952,1.29038,1.06216,0.000558894,0.000558894,0.000558894
7,520.375,0.57907,1.00504,1.06795,0.50419,0.37914,0.33218,0.289,0.53414,1.14532,1.05682,0.000553073,0.000553073,0.000553073
8,593.793,0.56942,0.96924,1.0587,0.5851,0.35736,0.35942,0.3187,0.45889,1.13335,0.99534,0.000547252,0.000547252,0.000547252
9,668.09,0.55702,0.93727,1.05635,0.4598,0.42187,0.35095,0.29837,0.48082,1.1451,1.01679,0.00054143,0.00054143,0.00054143
10,741.142,0.55947,0.93463,1.05384,0.586,0.32519,0.36405,0.31534,0.54267,1.09553,1.06279,0.000535609,0.000535609,0.000535609
11,814.414,0.55205,0.90898,1.05222,0.4276,0.42509,0.37014,0.3041,0.61379,1.12882,1.11072,0.000529788,0.000529788,0.000529788
12,888.148,0.54862,0.87326,1.04771,0.5523,0.37429,0.37496,0.32736,0.54006,1.08265,1.07751,0.000523967,0.000523967,0.000523967
13,961.482,0.54905,0.877,1.04761,0.47953,0.41344,0.4019,0.35606,0.47423,1.05958,1.00158,0.000518146,0.000518146,0.000518146
14,1034.29,0.54597,0.86762,1.04674,0.41557,0.46138,0.38623,0.34364,0.49004,1.16851,1.01621,0.000512324,0.000512324,0.000512324
15,1107.78,0.54524,0.85036,1.04564,0.45016,0.41192,0.40937,0.36603,0.47945,1.05234,1.00536,0.000506503,0.000506503,0.000506503
16,1181.02,0.53759,0.82412,1.03636,0.46065,0.50015,0.43611,0.38858,0.44862,1.05583,0.99064,0.000500682,0.000500682,0.000500682
17,1254.29,0.53279,0.81057,1.03582,0.49258,0.40656,0.38997,0.33717,0.48454,1.15473,1.02946,0.000494861,0.000494861,0.000494861
18,1328.37,0.53216,0.79189,1.0363,0.49374,0.40633,0.40651,0.36456,0.45206,1.11535,0.97879,0.00048904,0.00048904,0.00048904
19,1402.29,0.52896,0.77975,1.03364,0.52162,0.49204,0.46205,0.40601,0.49755,1.06271,1.02803,0.000483218,0.000483218,0.000483218
20,1475.09,0.52197,0.76474,1.02968,0.43797,0.40541,0.41638,0.37258,0.49497,1.05251,1.01609,0.000477397,0.000477397,0.000477397
21,1548.31,0.52806,0.76107,1.03183,0.49231,0.4267,0.43799,0.39012,0.49366,1.0139,1.01678,0.000471576,0.000471576,0.000471576
22,1622.33,0.52234,0.74788,1.03079,0.45065,0.48067,0.43423,0.39,0.45439,1.03852,0.97849,0.000465755,0.000465755,0.000465755
23,1695.55,0.52498,0.73626,1.03328,0.49103,0.50807,0.4573,0.40665,0.47054,1.01727,0.9969,0.000459934,0.000459934,0.000459934
24,1768.96,0.52211,0.71852,1.0323,0.46324,0.45027,0.44355,0.39976,0.44152,1.02953,0.97414,0.000454112,0.000454112,0.000454112
25,1842.9,0.51487,0.7176,1.02614,0.6255,0.413,0.4765,0.43381,0.41606,0.98949,0.95493,0.000448291,0.000448291,0.000448291
26,1916.69,0.51657,0.71105,1.02658,0.46567,0.45752,0.42802,0.3751,0.52675,1.09918,1.04118,0.00044247,0.00044247,0.00044247
27,1989.5,0.51999,0.70976,1.02816,0.48635,0.47044,0.44874,0.40386,0.45386,1.00742,0.98132,0.000436649,0.000436649,0.000436649
28,2062.9,0.51557,0.69809,1.02552,0.54638,0.40124,0.42979,0.3394,0.72667,1.26374,1.31538,0.000430828,0.000430828,0.000430828
29,2136.27,0.51237,0.68376,1.02725,0.51356,0.47557,0.45587,0.40944,0.46692,1.11291,0.98546,0.000425006,0.000425006,0.000425006
30,2209.71,0.50816,0.67494,1.02413,0.49116,0.47473,0.44981,0.27256,1.41926,1.69118,2.70128,0.000419185,0.000419185,0.000419185
31,2283.29,0.50875,0.66094,1.02071,0.57492,0.45397,0.47914,0.43075,0.47011,1.00052,0.99438,0.000413364,0.000413364,0.000413364
32,2356.97,0.50695,0.65963,1.01985,0.47885,0.47574,0.43957,0.39792,0.4086,1.09954,0.94212,0.000407543,0.000407543,0.000407543
33,2429.88,0.50776,0.6443,1.02225,0.49897,0.49394,0.46209,0.42105,0.42262,1.11215,0.95959,0.000401722,0.000401722,0.000401722
34,2503.76,0.50547,0.64025,1.02011,0.57987,0.44203,0.43263,0.38962,0.44616,1.1204,0.98445,0.0003959,0.0003959,0.0003959
35,2577.69,0.50123,0.62376,1.01739,0.57274,0.39835,0.44487,0.40641,0.44058,1.09532,0.97402,0.000390079,0.000390079,0.000390079
36,2662.75,0.50058,0.62068,1.01671,0.60133,0.38774,0.44506,0.4046,0.43976,1.1517,0.96643,0.000384258,0.000384258,0.000384258
37,2768.82,0.49814,0.59921,1.0181,0.52431,0.43527,0.45728,0.41318,0.45732,1.05947,0.98632,0.000378437,0.000378437,0.000378437
38,2897.49,0.49231,0.60389,1.01085,0.52221,0.42843,0.44321,0.39848,0.44256,1.10848,0.98028,0.000372616,0.000372616,0.000372616
39,3001.68,0.49827,0.60413,1.01543,0.58227,0.47661,0.47662,0.424,0.46835,1.02209,0.99363,0.000366794,0.000366794,0.000366794
40,3077.17,0.49763,0.59288,1.01294,0.5279,0.47195,0.46453,0.42408,0.43779,1.03876,0.96602,0.000360973,0.000360973,0.000360973
41,3150.28,0.49515,0.59301,1.0133,0.61773,0.4184,0.46648,0.42185,0.43068,1.10113,0.95923,0.000355152,0.000355152,0.000355152
42,3223.51,0.48972,0.59069,1.01102,0.6296,0.44187,0.46938,0.42331,0.45208,1.03881,0.97743,0.000349331,0.000349331,0.000349331
43,3297.72,0.49041,0.57634,1.0095,0.54257,0.45256,0.46417,0.41966,0.43903,1.03538,0.96369,0.00034351,0.00034351,0.00034351
44,3371,0.49126,0.57091,1.01017,0.57935,0.45119,0.45285,0.40836,0.44427,1.11683,0.97333,0.000337688,0.000337688,0.000337688
45,3443.69,0.48955,0.56327,1.01416,0.66832,0.41968,0.46028,0.41107,0.45526,1.08405,0.98463,0.000331867,0.000331867,0.000331867
46,3517.83,0.48871,0.55609,1.01214,0.64421,0.41539,0.45225,0.40852,0.46261,1.0801,0.98282,0.000326046,0.000326046,0.000326046
47,3601.14,0.48462,0.55291,1.00808,0.53447,0.47172,0.46617,0.42336,0.43897,1.04403,0.97024,0.000320225,0.000320225,0.000320225
48,3683.21,0.4844,0.54761,1.00577,0.63404,0.4459,0.46075,0.41388,0.46244,1.15497,0.9898,0.000314404,0.000314404,0.000314404
49,3757.16,0.48152,0.53324,1.00558,0.47863,0.45077,0.45512,0.41005,0.44604,1.18657,0.97603,0.000308582,0.000308582,0.000308582
50,3846.1,0.48064,0.52898,1.00532,0.60604,0.45828,0.46079,0.4177,0.43324,1.11597,0.96407,0.000302761,0.000302761,0.000302761
51,3931.3,0.48449,0.53492,1.0093,0.53373,0.45332,0.45401,0.41117,0.43003,1.15988,0.96742,0.00029694,0.00029694,0.00029694
52,4004.92,0.48295,0.52896,1.01135,0.62216,0.43995,0.45846,0.41572,0.43982,1.13276,0.96589,0.000291119,0.000291119,0.000291119
53,4082.72,0.47637,0.51945,1.00318,0.5886,0.4654,0.48361,0.43693,0.43368,1.08143,0.97012,0.000285298,0.000285298,0.000285298
54,4155.69,0.47698,0.50722,1.00352,0.56169,0.4748,0.48578,0.43805,0.43352,1.05474,0.97185,0.000279476,0.000279476,0.000279476
55,4229.93,0.48135,0.51135,1.00212,0.55396,0.51061,0.48262,0.43426,0.45514,1.08071,0.97681,0.000273655,0.000273655,0.000273655
56,4303.7,0.47827,0.50368,1.00402,0.63735,0.42868,0.44959,0.40525,0.44523,1.17626,0.96875,0.000267834,0.000267834,0.000267834
57,4377.07,0.47158,0.48507,0.9994,0.60762,0.44932,0.44203,0.40049,0.43795,1.12873,0.96398,0.000262013,0.000262013,0.000262013
58,4450.94,0.47131,0.49951,0.99798,0.55054,0.43072,0.45828,0.41802,0.41075,1.14085,0.9387,0.000256192,0.000256192,0.000256192
59,4524.88,0.46941,0.48447,0.99745,0.66242,0.38251,0.44522,0.40555,0.43902,1.09317,0.96098,0.00025037,0.00025037,0.00025037
60,4597.94,0.47274,0.49396,1.00159,0.64031,0.40603,0.44739,0.40739,0.42405,1.17538,0.94757,0.000244549,0.000244549,0.000244549
61,4671.66,0.4671,0.47402,0.9972,0.59895,0.40866,0.4488,0.40749,0.43627,1.11655,0.96411,0.000238728,0.000238728,0.000238728
62,4745.99,0.47013,0.47811,0.99925,0.51515,0.46409,0.44382,0.40218,0.43775,1.09441,0.96694,0.000232907,0.000232907,0.000232907
63,4819.71,0.46733,0.47137,1.00006,0.6054,0.46004,0.47539,0.43276,0.42093,1.0629,0.95486,0.000227086,0.000227086,0.000227086
64,4892.73,0.47182,0.47116,0.99965,0.57606,0.448,0.46384,0.42557,0.4038,1.08438,0.9394,0.000221264,0.000221264,0.000221264
65,4967.16,0.4636,0.4564,0.99597,0.48714,0.45883,0.44585,0.40958,0.42112,1.11555,0.94726,0.000215443,0.000215443,0.000215443
66,5040.63,0.46608,0.45359,1.00082,0.61279,0.42257,0.44775,0.40851,0.4257,1.17538,0.95197,0.000209622,0.000209622,0.000209622
67,5113.62,0.46264,0.44947,0.99543,0.58997,0.42579,0.43281,0.39669,0.41945,1.18929,0.94608,0.000203801,0.000203801,0.000203801
68,5208.01,0.4618,0.44568,0.99703,0.66852,0.4001,0.45151,0.40919,0.42274,1.14205,0.95113,0.00019798,0.00019798,0.00019798
69,5284.52,0.46315,0.44658,0.99686,0.52142,0.44596,0.44463,0.40859,0.41377,1.16171,0.94941,0.000192158,0.000192158,0.000192158
70,5357.39,0.46489,0.44904,0.99602,0.68297,0.40078,0.44871,0.41022,0.41991,1.13029,0.94657,0.000186337,0.000186337,0.000186337
71,5431.28,0.46251,0.43678,0.99786,0.60166,0.44215,0.46979,0.4316,0.41195,1.081,0.94268,0.000180516,0.000180516,0.000180516
72,5504.86,0.45882,0.43045,0.99301,0.64619,0.4338,0.45318,0.41192,0.42087,1.1174,0.95062,0.000174695,0.000174695,0.000174695
73,5577.77,0.45651,0.42637,0.99423,0.56283,0.46824,0.45817,0.41899,0.41252,1.13531,0.94631,0.000168874,0.000168874,0.000168874
74,5659.2,0.45602,0.42658,0.99223,0.56277,0.45963,0.44866,0.4096,0.42127,1.13473,0.94964,0.000163052,0.000163052,0.000163052
75,5749.54,0.45281,0.41759,0.99164,0.60472,0.45463,0.45304,0.41501,0.41012,1.10953,0.94018,0.000157231,0.000157231,0.000157231
76,5838.46,0.45581,0.4153,0.99156,0.62911,0.44535,0.45878,0.41832,0.42639,1.13129,0.95238,0.00015141,0.00015141,0.00015141
77,5938.35,0.44843,0.4226,0.99006,0.62541,0.44348,0.45151,0.41066,0.42299,1.09724,0.94773,0.000145589,0.000145589,0.000145589
78,6036.57,0.4511,0.4035,0.98989,0.65677,0.43648,0.46189,0.41997,0.43661,1.07964,0.96447,0.000139768,0.000139768,0.000139768
79,6136.1,0.44512,0.40973,0.99059,0.65239,0.41529,0.44078,0.39986,0.45209,1.20447,0.9737,0.000133946,0.000133946,0.000133946
80,6236.2,0.44927,0.39533,0.99094,0.66184,0.40384,0.43505,0.39339,0.43458,1.17196,0.95916,0.000128125,0.000128125,0.000128125
81,6337.43,0.44911,0.40121,0.98626,0.63744,0.41995,0.43734,0.39734,0.42811,1.17488,0.95515,0.000122304,0.000122304,0.000122304
82,6437.37,0.44279,0.39945,0.98659,0.64522,0.42235,0.44823,0.40652,0.42682,1.20379,0.95584,0.000116483,0.000116483,0.000116483
83,6537.17,0.44556,0.39938,0.98703,0.63119,0.44161,0.45315,0.41215,0.41706,1.1742,0.94686,0.000110662,0.000110662,0.000110662
84,6629.82,0.43872,0.38065,0.98332,0.6967,0.40051,0.45304,0.41257,0.42177,1.1812,0.95228,0.00010484,0.00010484,0.00010484
85,6728.25,0.44588,0.38674,0.98533,0.64318,0.44739,0.45827,0.41716,0.42368,1.16865,0.95225,9.90192e-05,9.90192e-05,9.90192e-05
86,6825.6,0.44353,0.38129,0.9861,0.58614,0.45672,0.46019,0.41782,0.42788,1.13718,0.95866,9.3198e-05,9.3198e-05,9.3198e-05
87,6911.94,0.44275,0.38122,0.98768,0.57521,0.45869,0.4661,0.42373,0.42071,1.11411,0.95276,8.73768e-05,8.73768e-05,8.73768e-05
88,6994,0.43979,0.38131,0.98413,0.55515,0.45289,0.45608,0.41394,0.4205,1.16734,0.94999,8.15556e-05,8.15556e-05,8.15556e-05
89,7067.51,0.43707,0.36724,0.98191,0.6372,0.42774,0.45954,0.41797,0.4246,1.15129,0.95317,7.57344e-05,7.57344e-05,7.57344e-05
90,7141.52,0.43734,0.37193,0.98223,0.62723,0.43639,0.4582,0.41393,0.42829,1.14356,0.95744,6.99132e-05,6.99132e-05,6.99132e-05
91,7241.12,0.36302,0.22579,0.96359,0.61927,0.44665,0.45388,0.41208,0.42948,1.17274,0.95931,6.4092e-05,6.4092e-05,6.4092e-05
