epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46314,3.80505,5.26433,3.76451,0,0,0,0,2.736,5.34475,3.50191,0,0,0
2,1.82991,3.40569,6.09614,2.95118,0,0,0,0,2.68821,5.22543,3.5041,1.63399e-05,1.63399e-05,1.63399e-05
3,2.28015,3.78864,6.64491,3.95265,0.00235,0.5,0.00313,0.00031,2.61249,5.09259,3.53223,3.20197e-05,3.20197e-05,3.20197e-05
4,2.68577,3.90967,5.88819,3.59728,0.0023,0.5,0.003,0.0006,2.52639,5.31469,3.48273,4.70394e-05,4.70394e-05,4.70394e-05
5,3.07475,2.66378,3.5808,2.56483,0,0,0,0,2.48086,5.43946,3.45591,6.13989e-05,6.13989e-05,6.13989e-05
6,3.43617,4.16474,5.27453,3.91632,0.0023,0.5,0.00355,0.00036,2.51842,5.58402,3.45839,7.50984e-05,7.50984e-05,7.50984e-05
7,3.75951,3.64246,6.58742,3.58652,0,0,0,0,2.65826,5.30989,3.61256,8.81376e-05,8.81376e-05,8.81376e-05
8,4.07142,2.67594,8.84698,2.84443,0.00226,0.5,0.00229,0.00092,2.63358,5.13989,3.60063,0.000100517,0.000100517,0.000100517
9,4.45392,3.47157,5.16818,3.63203,0.52708,0.5,0.0995,0.0141,2.01854,5.54279,2.99853,0.000112236,0.000112236,0.000112236
10,5.10397,3.07815,7.05574,2.89513,0.51286,0.5,0.0995,0.02286,2.13716,5.29905,3.01778,0.000123295,0.000123295,0.000123295
11,5.72982,3.33623,4.17928,3.08845,0.00171,0.5,0.01716,0.01201,2.13082,5.82542,3.03473,0.000133693,0.000133693,0.000133693
12,6.35176,3.39793,4.17879,3.28247,0.51156,0.5,0.04523,0.00905,2.94211,5.53703,3.45907,0.000143432,0.000143432,0.000143432
13,7.02516,3.22478,4.08657,2.91272,0.51595,0.5,0.08292,0.01327,3.37306,6.24514,3.74004,0.00015251,0.00015251,0.00015251
14,7.55892,2.70701,5.58027,2.48386,0.00213,0.5,0.00503,0.00151,3.3923,6.07718,3.83147,0.000160929,0.000160929,0.000160929
15,8.08791,2.86785,3.24725,2.73498,0.0023,0.5,0.01059,0.00134,3.44498,8.46356,3.65787,0.000168687,0.000168687,0.000168687
16,8.63715,3.17815,4.18678,3.00982,0.00238,0.5,0.01716,0.00343,3.38501,8.82462,3.45091,0.000175785,0.000175785,0.000175785
17,9.21671,2.70484,3.19192,2.59375,0.00768,1,0.04781,0.00685,3.21345,6.77398,2.98593,0.000182223,0.000182223,0.000182223
18,9.71391,2.62127,3.18266,2.45935,0.00768,1,0.04781,0.00685,3.21345,6.77398,2.98593,0.000188001,0.000188001,0.000188001
19,10.2421,2.54943,2.55357,2.51412,0.55228,0.5,0.09772,0.02315,2.66339,5.6155,2.48351,0.000193119,0.000193119,0.000193119
20,10.8088,2.62503,3.5091,2.37338,0.55228,0.5,0.09772,0.02315,2.66339,5.6155,2.48351,0.000197576,0.000197576,0.000197576
21,11.4684,2.15698,2.78205,2.21139,0.71308,0.5,0.2985,0.05704,2.35079,4.03626,2.35779,0.000201374,0.000201374,0.000201374
22,12.1025,2.14214,2.72979,2.07031,0.71308,0.5,0.2985,0.05704,2.35079,4.03626,2.35779,0.000204511,0.000204511,0.000204511
23,12.7136,2.00266,2.48118,2.06303,0.05517,0.5,0.1451,0.04733,2.52404,3.35398,2.44752,0.000206988,0.000206988,0.000206988
24,13.1993,2.5868,2.73286,2.24998,0.05517,0.5,0.1451,0.04733,2.52404,3.35398,2.44752,0.000208805,0.000208805,0.000208805
25,13.6819,2.55508,2.74315,2.30828,0.00667,1,0.14601,0.06753,2.49638,3.30003,2.41842,0.000209962,0.000209962,0.000209962
26,14.221,1.65987,2.47056,2.0259,0.00667,1,0.14601,0.06753,2.49638,3.30003,2.41842,0.000210459,0.000210459,0.000210459
